id,name_en,element_primary,element_secondary,material,color,image,function,description,rarity,level,allowed,glow_color,model
amazonite,Amazonite,water,,crystal,blue,amazonite.jpeg,STANDARD,"Adjusts water dynamics by matching impedance at ports, improving transfer efficiency under mismatched interfaces.",common,1,1,#4da6ff,beads
amber,Amber,earth,,crystal,yellow,amber.jpeg,PREMIUM,"Calibrates earth dynamics by anchoring reference frame, improving spatial orientation under shifting reference inputs.",common,1,1,#e6b800,beads
amethyst,Amethyst,water,,crystal,purple,amethyst.jpeg,STANDARD,"Adjusts water dynamics by scheduling back-pressure relief, improving queue stability under sudden downstream blocks.",common,1,1,#4da6ff,beads
amethyst_phantom,Amethyst Phantom,water,,crystal,purple,amethyst_phantom.jpeg,STANDARD,"Adjusts water dynamics by deepening retention time, improving equilibration quality under short-circuit paths.",common,1,1,#4da6ff,beads
aquamarine,Aquamarine,water,,crystal,blue,aquamarine.jpeg,STANDARD,"Shifts water dynamics by thinning boundary layers, improving exchange rate under diffusion-limited zones.",common,1,1,#4da6ff,beads
banded_agate,Banded Agate,earth,,crystal,yellow,banded_agate.jpeg,STANDARD,"Calibrates earth dynamics by thickening damping layer, improving vibration attenuation under impulsive disturbances.",common,1,1,#e6b800,beads
beeswax_amber,Beeswax Amber,earth,,crystal,yellow,beeswax_amber.jpeg,PREMIUM,"Calibrates earth dynamics by compacting soil matrix, improving bearing capacity under loose substrate.",common,1,1,#e6b800,beads
blood_drop_cordierite,Blood Drop Cordierite,earth,,crystal,yellow,blood_drop_cordierite.jpeg,STANDARD,"Calibrates earth dynamics by locking grain interlock, improving shear resistance under cyclic shear.",common,1,1,#e6b800,beads
blue_apatite,Blue Apatite,water,,crystal,blue,blue_apatite.jpeg,STANDARD,"Modulates water dynamics by containing overshoot in level, improving level control under surge inflows.",common,1,1,#4da6ff,beads
blue_chalcedony,Blue Chalcedony,water,,crystal,blue,blue_chalcedony.jpeg,STANDARD,"Modulates water dynamics by pre-conditioning input temperature, improving thermal equilibrium under mixed-phase feeds.",common,1,1,#4da6ff,beads
blue_kyanite,Blue Kyanite,water,,crystal,blue,blue_kyanite.jpeg,STANDARD,"Calibrates water dynamics by routing return paths cleanly, improving recirculation hygiene under closed-loop drift.",common,1,1,#4da6ff,beads
blue_lace_agate,Blue Lace Agate,water,,crystal,blue,blue_lace_agate.jpeg,STANDARD,"Shifts water dynamics by decoupling oscillatory modes, improving mode stability under resonant coupling.",common,1,1,#4da6ff,beads
blue_lace_stone,Blue Lace Stone,water,,crystal,blue,blue_lace_stone.jpeg,STANDARD,"Modulates water dynamics by splitting multi-phase flow, improving phase separation under emulsified mixtures.",common,1,1,#4da6ff,beads
blue_tiger_eye,Blue Tiger Eye,water,,crystal,blue,blue_tiger_eyes.JPG,STANDARD,"Adjusts water dynamics by injecting coagulant dose, improving flocculation rate under colloidal stability.",common,1,1,#4da6ff,beads
blue_topaz,Blue Topaz,water,,crystal,blue,blue_topaz.jpeg,STANDARD,"Tunes water dynamics by tracing dye transit time, improving hydraulic residence under plug-flow deviation.",common,1,1,#4da6ff,beads
carnelian,Carnelian,fire,,crystal,red,carnelian.jpeg,STANDARD,"Calibrates fire dynamics by aligning drive vectors, improving task completion rate under parallel competing inputs.",common,1,1,#ff4d4d,beads
cherry_blossom_agate,Cherry Blossom Agate,fire,,crystal,red,cherry_blossom_agate.jpeg,STANDARD,"Shifts fire dynamics by compressing ramp-up phase, improving time-to-steady-state under cold-start operation.",common,1,1,#ff4d4d,beads
chrysoberyl_cat_eye,Chrysoberyl Cat Eye,earth,,crystal,yellow,chrysoberyl_cat_eye.jpeg,STANDARD,"Calibrates earth dynamics by venting pore pressure, improving effective stress under undrained loading.",common,1,1,#e6b800,beads
cinnabar,Cinnabar,fire,,crystal,red,cinnabar.jpeg,STANDARD,"Adjusts fire dynamics by shaping duty-cycle envelope, improving peak-to-mean ratio under pulsed load patterns.",common,1,1,#ff4d4d,beads
citrine,Citrine,earth,,crystal,yellow,citrine.jpeg,STANDARD,"Modulates earth dynamics by capping contaminant plume, improving migration control under advective transport.",common,1,1,#e6b800,beads
clear_quartz,Clear Quartz,metal,,crystal,white,clear_quartz.jpeg,STANDARD,"Calibrates metal dynamics by aligning reference planes, improving ground integrity under common-mode noise.",common,1,1,#dddddd,clear
conch_pearl,Conch Pearl,water,,crystal,blue,conch_pearl.jpeg,COLLECTOR,"Calibrates water dynamics by sampling isokinetically, improving representative capture under skewed velocity profiles.",common,1,1,#4da6ff,beads
emerald,Emerald,wood,,crystal,green,emerald.jpeg,STANDARD,"Adjusts wood dynamics by synchronizing seasonal cycles, improving cadence alignment under irregular seasonality.",common,1,1,#4dff88,beads
fire_stone,Fire Stone,fire,,crystal,red,fire_stone.jpeg,STANDARD,"Calibrates fire dynamics by balancing feedforward gain, improving tracking accuracy under setpoint changes.",common,1,1,#ff4d4d,roughstone
garnet,Garnet,fire,,crystal,red,garnet.jpeg|garnet_01.jpeg,STANDARD,"Calibrates fire dynamics by limiting thermal overshoot, improving safe operating margin under step-up transients.",common,1,1,#ff4d4d,beads
gold_thread_jade,Gold Thread Jade,wood,,crystal,green,gold_thread_jade.jpeg,STANDARD,"Calibrates wood dynamics by reducing ring eccentricity, improving concentric growth under off-axis loading.",common,1,1,#4dff88,beads
golden_calcite,Golden Calcite,earth,,crystal,yellow,golden_calcite.jpeg,STANDARD,"Adjusts earth dynamics by aligning survey monuments, improving geodetic consistency under network adjustment.",common,1,1,#e6b800,beads
golden_obsidian,Golden Obsidian,water,,crystal,yellow,golden_obsidian.jpeg,STANDARD,"Calibrates water dynamics by calibrating weir height, improving level setpoint under seasonal head change.",common,1,1,#4da6ff,beads
golden_rutilated_quartz,Golden Rutilated Quartz,metal,,crystal,yellow,golden_rutilated_quartz.jpeg,PREMIUM,"Shifts metal dynamics by stress-relieving sharp corners, improving fatigue life under cyclic loading.",common,1,1,#dddddd,clear
goldstone,Goldstone,earth,,crystal,yellow,goldstone.jpeg,STANDARD,"Tunes earth dynamics by increasing cohesion intercept, improving slope stability under effective stress paths.",common,1,1,#e6b800,roughstone
gray_moonstone,Gray Moonstone,water,,crystal,white,gray_moonstone.jpeg,PREMIUM,"Modulates water dynamics by installing surge drum, improving slug mitigation under slug flow regimes.",common,1,1,#4da6ff,roughstone
green_agate,Green Agate,wood,,crystal,green,green_agate.jpeg,STANDARD,"Shifts wood dynamics by optimizing leaf-area index, improving capture efficiency under light-limited canopies.",common,1,1,#4dff88,beads
green_aventurine,Green Aventurine,wood,,crystal,green,green_aventurine.jpeg,STANDARD,"Modulates wood dynamics by thickening bark resistance, improving abrasion tolerance under surface wear.",common,1,1,#4dff88,beads
green_fluorite,Green Fluorite,wood,,crystal,green,green_fluorite.jpeg,STANDARD,"Tunes wood dynamics by routing sap pressure, improving hydraulic safety under freeze-thaw cycles.",common,1,1,#4dff88,clear
green_jadeite,Green Jadeite,wood,,crystal,green,green_jadeite.jpeg,COLLECTOR,"Calibrates wood dynamics by aligning phototropism gain, improving sun-tracking accuracy under diffuse illumination.",common,1,1,#4dff88,beads
green_phantom_quartz,Green Phantom Quartz,wood,,crystal,green,green_phantom_quartz.jpeg,PREMIUM,"Adjusts wood dynamics by reducing self-shading losses, improving canopy efficiency under dense stands.",common,1,1,#4dff88,clear
green_rutilated_quartz,Green Rutilated Quartz,wood,,crystal,green,green_rutilated_quartz.png,PREMIUM,"Modulates wood dynamics by encoding growth checkpoints, improving phase gating under premature transitions.",common,1,1,#4dff88,clear
hematite,Hematite,metal,,crystal,white,hematite.jpeg,STANDARD,"Tunes metal dynamics by work-hardening surface layer, improving wear resistance under abrasive contact.",common,1,1,#dddddd,beads
hetian_jade,Hetian Jade,wood,,crystal,green,hetian_jade.jpeg,COLLECTOR,"Adjusts wood dynamics by grafting compatible scions, improving union strength under immunogenic mismatch.",common,1,1,#4dff88,beads
ice_drift_nanhong_agate,Ice Drift Nanhong Agate,earth,,crystal,yellow,ice_drift_nanhong_agate.jpeg,PREMIUM,"Modulates earth dynamics by optimizing compaction energy, improving density uniformity under lift thickness.",common,1,1,#e6b800,beads
jade,Jade,wood,,crystal,green,jade.jpeg,COLLECTOR,"Tunes wood dynamics by wiring trellis support, improving load path under bearing fruit mass.",common,1,1,#4dff88,beads
jadeite,Jadeite,wood,,crystal,green,jadeite.jpeg,COLLECTOR,"Calibrates wood dynamics by scar-sealing cut sites, improving infection resistance under open wound exposure.",common,1,1,#4dff88,beads
jasper,Jasper,earth,,crystal,yellow,jasper.jpeg,STANDARD,"Tunes earth dynamics by stabilizing retaining wall, improving lateral earth pressure under surge surcharge.",common,1,1,#e6b800,beads
kyanite,Kyanite,earth,,crystal,yellow,kyanite.jpeg,STANDARD,"Shifts earth dynamics by tie-backing excavation face, improving face stability under open-cut depth.",common,1,1,#e6b800,beads
labradorite,Labradorite,earth,,crystal,yellow,labradorite.jpeg,STANDARD,"Modulates earth dynamics by installing relief wells, improving pore pressure relief under artesian conditions.",common,1,1,#e6b800,beads
lapis_lazuli,Lapis Lazuli,water,,crystal,blue,lapis_lazuli.jpeg,STANDARD,"Modulates water dynamics by blanketing vapor space, improving oxygen exclusion under oxidative degradation.",common,1,1,#4da6ff,beads
larimar,Larimar,water,,crystal,blue,larimar.jpeg,PREMIUM,"Tunes water dynamics by polishing final effluent, improving discharge compliance under tight permit limits.",common,1,1,#4da6ff,beads
lepidolite,Lepidolite,earth,,crystal,yellow,lepidolite.jpeg,STANDARD,"Shifts earth dynamics by geotextile separating lifts, improving filtration stability under fines migration.",common,1,1,#e6b800,beads
malachite,Malachite,wood,,crystal,green,malachite.jpeg,STANDARD,"Tunes wood dynamics by reinforcing directional expansion, improving progress consistency under long-term progression.",common,1,1,#4dff88,beads
moonstone,Moonstone,water,,crystal,blue,moonstone.jpeg,PREMIUM,"Shifts water dynamics by reducing signal volatility, improving signal stability under rapid input fluctuations.",common,1,1,#4da6ff,roughstone
moss_agate,Moss Agate,wood,,crystal,green,moss_agate.jpeg,STANDARD,"Adjusts wood dynamics by stabilizing growth vectors, improving decision alignment under evolving environments.",common,1,1,#4dff88,beads
mother_of_pearl,Mother Of Pearl,water,,crystal,blue,mother_of_pearl.jpeg,STANDARD,"Adjusts water dynamics by enhancing absorption capacity, improving adaptability under continuous external input.",common,1,1,#4da6ff,beads
nanhong_agate,Nanhong Agate,earth,,crystal,yellow,nanhong_agate.jpeg,PREMIUM,"Modulates earth dynamics by wicking lateral drains, improving drainage path under low-permeability layers.",common,1,1,#e6b800,beads
nephrite_jade,Nephrite Jade,wood,,crystal,green,nephrite_jade.jpeg,COLLECTOR,"Adjusts wood dynamics by promoting adaptive branching, improving path flexibility under uncertain pathways.",common,1,1,#4dff88,beads
obsidian,Obsidian,water,,crystal,black,obsidian.jpeg,STANDARD,"Calibrates water dynamics by smoothing internal transitions, improving coherence under multi-source processing.",common,1,1,#4da6ff,beads
opal,Opal,metal,,crystal,white,opal.jpeg,PREMIUM,"Tunes metal dynamics by tuning resonant Q, improving selectivity under crowded spectrum.",common,1,1,#dddddd,beads
pearl,Pearl,water,,crystal,blue,pearl.jpeg,PREMIUM,"Adjusts water dynamics by damping high-frequency noise, improving signal clarity under dense feedback environments.",common,1,1,#4da6ff,beads
peridot,Peridot,wood,,crystal,green,peridot.jpeg,STANDARD,"Tunes wood dynamics by aligning resource allocation, improving path efficiency under competing objectives.",common,1,1,#4dff88,beads
petrified_wood,Petrified Wood,wood,,crystal,green,petrified_wood.jpeg,STANDARD,"Tunes wood dynamics by extending planning horizon, improving trajectory stability under delayed feedback loops.",common,1,1,#4dff88,beads
prehnite,Prehnite,wood,,crystal,green,prehnite.jpeg,STANDARD,"Modulates wood dynamics by constraining lateral drift, improving focus retention under high-distraction contexts.",common,1,1,#4dff88,beads
purple_chalcedony,Purple Chalcedony,earth,,crystal,purple,purple_chalcedony.jpeg,STANDARD,"Shifts earth dynamics by preloading surcharge fill, improving primary consolidation under compressible clays.",common,1,1,#e6b800,beads
purple_jadeite,Purple Jadeite,wood,,crystal,green,purple_jadeite.jpeg,COLLECTOR,"Modulates wood dynamics by incrementing milestone density, improving measurable progress under incremental delivery models.",common,1,1,#4dff88,beads
red_agate,Red Agate,fire,,crystal,red,red_agate.jpeg,PREMIUM,"Adjusts fire dynamics by extending plateau duration, improving steady-state hold under extended run times.",common,1,1,#ff4d4d,beads
red_included_quartz,Red Included Quartz,fire,,crystal,red,red_included_quartz.jpeg,STANDARD,"Tunes fire dynamics by coordinating multi-stage ignition, improving phase sequencing under staged process lines.",common,1,1,#ff4d4d,clear
red_jasper_stone,Red Jasper Stone,fire,,crystal,red,red_jasper_stone.jpeg,STANDARD,"Calibrates fire dynamics by reducing flicker in output, improving spectral purity under harmonic-rich inputs.",common,1,1,#ff4d4d,roughstone
red_quartz,Red Quartz,fire,,crystal,red,red_quartz.jpeg,STANDARD,"Modulates fire dynamics by reinforcing forward bias, improving directional bias under bidirectional contention.",common,1,1,#ff4d4d,clear
red_tiger_eye,Red Tiger Eye,fire,,crystal,red,red_tiger_eye.jpeg,STANDARD,"Tunes fire dynamics by calibrating gain staging, improving gain flatness under wide dynamic range inputs.",common,1,1,#ff4d4d,beads
rhodonite,Rhodonite,fire,,crystal,red,rhodonite.jpeg,STANDARD,"Shifts fire dynamics by hardening surge response, improving inrush tolerance under capacitive loads.",common,1,1,#ff4d4d,beads
rose_quartz,Rose Quartz,fire,,crystal,pink,rose_quartz.jpeg,STANDARD,"Adjusts fire dynamics by scheduling energy release, improving dispatch efficiency under queued activation events.",common,1,1,#ff4d4d,clear
ruby,Ruby,fire,,crystal,red,ruby.jpeg,STANDARD,"Adjusts fire dynamics by stabilizing combustion window, improving operability window under fuel-quality variance.",common,1,1,#ff4d4d,beads
sapphire,Sapphire,water,,crystal,blue,sapphire.jpeg,STANDARD,"Tunes water dynamics by expanding buffer depth, improving recovery margin under sustained overload periods.",common,1,1,#4da6ff,beads
silver_obsidian,Silver Obsidian,water,,crystal,black,silver_obsidian.jpeg,STANDARD,"Modulates water dynamics by equalizing pressure gradients, improving flow uniformity under uneven load distribution.",common,1,1,#4da6ff,beads
smoky_quartz,Smoky Quartz,metal,,crystal,white,smoky_quartz.jpeg,STANDARD,"Calibrates metal dynamics by normalizing grain structure, improving isotropy under directional loads.",common,1,1,#dddddd,clear
snowflake_obsidian,Snowflake Obsidian,water,,crystal,black,snowflake_obsidian.jpeg,STANDARD,"Calibrates water dynamics by refining boundary permeability, improving selective intake under mixed-quality streams.",common,1,1,#4da6ff,beads
strawberry_quartz,Strawberry Quartz,fire,,crystal,red,strawberry_quartz.jpeg,STANDARD,"Adjusts fire dynamics by optimizing spark-to-work ratio, improving conversion efficiency under mechanical backlash.",common,1,1,#ff4d4d,clear
sunstone,Sunstone,fire,,crystal,red,sunstone.PNG,STANDARD,"Shifts fire dynamics by partitioning heat zones, improving thermal zoning under multi-zone heat loads.",common,1,1,#ff4d4d,roughstone
tigers_eye,Tigers Eye,earth,,crystal,yellow,tigers_eye.jpeg,STANDARD,"Tunes earth dynamics by vibro-compacting loose sand, improving relative density under liquefiable sands.",common,1,1,#e6b800,beads
titanium_quartz,Titanium Quartz,metal,,crystal,white,titanium_quartz.PNG,COLLECTOR,"Tunes metal dynamics by increasing elastic stiffness, improving deflection margin under elastic deflection limits.",common,1,1,#dddddd,clear
turquoise,Turquoise,water,,crystal,teal,turquoise.jpeg,COLLECTOR,"Calibrates water dynamics by stabilizing phase relationships, improving synchronization under asynchronous inputs.",common,1,1,#4da6ff,beads
wavellite,Wavellite,earth,,crystal,yellow,wavellite.jpeg,STANDARD,"Modulates earth dynamics by chemical grouting fractures, improving permeability reduction under karst voids.",common,1,1,#e6b800,beads
white_agate,White Agate,metal,,crystal,white,white_agate.jpeg,STANDARD,"Calibrates metal dynamics by optimizing cut-off slope, improving roll-off steepness under near-band interference.",common,1,1,#dddddd,beads
white_phantom_quartz,White Phantom Quartz,metal,,crystal,white,white_phantom_quartz.jpeg,STANDARD,"Adjusts metal dynamics by retiming clock edges, improving jitter tolerance under PLL phase noise.",common,1,1,#dddddd,clear
white_pine_stone,White Pine Stone,metal,,crystal,white,white_pine_stone.jpeg,STANDARD,"Modulates metal dynamics by segmenting shield compartments, improving EMI containment under radiated emissions.",common,1,1,#dddddd,roughstone
yellow_agate,Yellow Agate,earth,,crystal,yellow,yellow_agate.png,STANDARD,"Tunes earth dynamics by trench-boxing narrow cuts, improving worker safety under caving soils.",common,1,1,#e6b800,beads
yellow_fluorite,Yellow Fluorite,earth,,crystal,yellow,yellow_fluorite.jpg,STANDARD,"Adjusts earth dynamics by reinforcing structural cohesion, improving stability under external pressure.",common,1,1,#e6b800,clear
yellow_tiger_eye,Yellow Tiger Eye,earth,,crystal,yellow,yellow_tiger_eye.JPG,STANDARD,"Shifts earth dynamics by increasing load tolerance, improving resilience under prolonged stress states.",common,1,1,#e6b800,beads
